,Incident Summary,State,Open Date
419,HSCN - Internet Outage,Closed,30-Aug-2023 14:51
420,HSCN - Internet Outage raised by ISP,Closed,30-Aug-2023 14:10
421,HSCN - Intermittent Outage raised by ISP,Closed,30-Aug-2023 14:09
422,HSCN - Internet Outage raised by ISP,Closed,30-Aug-2023 14:08
423,HSCN - Intermittent Outage raised by ISP,Closed,30-Aug-2023 14:07
424,HSCN - Slow / Degraded Performance,Closed,30-Aug-2023 12:36
425,HSCN - Internet Outage,Closed,30-Aug-2023 11:38
426,HSCN - Internet Outage,Closed,30-Aug-2023 10:30
427,HSCN - Intermittent Outage,Closed,29-Aug-2023 17:32
428,HSCN - Slow / Degraded Performance,Closed,29-Aug-2023 13:16
429,HSCN - Router Swap,Closed,29-Aug-2023 10:30
430,HSCN - Internet Outage,Closed,29-Aug-2023 10:19
431,HSCN - Internet Outage,Closed,29-Aug-2023 10:18
432,HSCN - Internet Outage,Closed,29-Aug-2023 10:16
433,HSCN - Internet Outage,Closed,29-Aug-2023 09:41
434,HSCN - Internet Outage,Closed,29-Aug-2023 09:41
435,HSCN - Intermittent Outage,Closed,29-Aug-2023 09:37
436,HSCN - Internet Outage,Closed,29-Aug-2023 09:35
437,HSCN - Internet Outage,Closed,29-Aug-2023 09:34
438,HSCN - Internet Outage,Closed,29-Aug-2023 09:21
439,HSCN - Internet Outage,Closed,29-Aug-2023 08:14
440,HSCN - Internet Outage,Closed,29-Aug-2023 08:12
441,HSCN - Internet Outage,Closed,29-Aug-2023 08:10
442,HSCN - Internet Outage,Closed,29-Aug-2023 08:08
443,HSCN - Internet Outage,Closed,26-Aug-2023 10:00
444,HSCN - Internet Outage,Closed,25-Aug-2023 13:20
445,HSCN - Internet Outage,Closed,25-Aug-2023 10:17
446,HSCN - Internet Outage,Closed,25-Aug-2023 10:15
447,HSCN - Internet Outage,Closed,24-Aug-2023 17:50
448,HSCN - Intermittent Outage,Closed,24-Aug-2023 12:35
449,HSCN - Internet Outage,Closed,24-Aug-2023 12:14
450,HSCN - Intermittent Outage,Closed,24-Aug-2023 12:08
451,HSCN - Intermittent Outage,Closed,24-Aug-2023 11:58
452,HSCN - Intermittent Outage,Closed,24-Aug-2023 10:16
453,HSCN - Internet Outage,Closed,24-Aug-2023 10:14
454,HSCN - Internet Outage,Closed,24-Aug-2023 10:13
455,HSCN - Internet Outage,Closed,24-Aug-2023 09:47
456,HSCN - Internet Outage,Closed,24-Aug-2023 09:45
